"","Group.1","sr87_86","SE.1s.","Li","B","Na","Mg","Al","K","Ca","Ti","V","Mn","Fe","Ni","Cu","Zn","As","Rb","Sr","Sb","Ba","La","Ce","Pr","Nd","Ho","Tl","Pb","U"
"23",25,0.70951,2e-05,5.31914893617021e-05,0.00127659574468085,0.638297872340425,0.343617021276596,0.00127659574468085,0.212765957446809,9.4,0.000202127659574468,0.000132978723404255,0.00185957446808511,0.00659574468085106,6.48936170212766e-05,0.000106382978723404,0.000138297872340426,0.000180851063829787,0.000403191489361702,0.00829787234042553,1.70212765957447e-05,0.00264893617021277,5.1063829787234e-06,1.17021276595745e-05,1.17021276595745e-06,5e-06,0.00178553191489362,4.25531914893617e-07,1.06382978723404e-05,5.85106382978723e-06
"24",26,0.70953,1e-05,6.18556701030928e-05,0.00134020618556701,0.628865979381443,0.337113402061856,0.00154639175257732,0.216494845360825,9.7,0.000185567010309278,0.000127835051546392,0.00178659793814433,0.00742268041237113,7.42268041237113e-05,0.000164948453608247,0.0012680412371134,0.00425773195876289,0.000395876288659794,0.00814432989690722,2.37113402061856e-05,0.00260824742268041,5.77319587628866e-06,1.23711340206186e-05,1.34020618556701e-06,4.84536082474227e-06,0.00173762886597938,5.15463917525773e-07,5.36082474226804e-05,5.97938144329897e-06
"25",27,0.70955,2e-05,7.36842105263158e-05,0.00147368421052632,0.652631578947368,0.346315789473684,0.00168421052631579,0.221052631578947,9.5,0.000252631578947368,0.000141052631578947,0.00178631578947368,0.0117894736842105,0.000152631578947368,0.000221052631578947,0.000789473684210526,0.000178947368421053,0.000409473684210526,0.00831578947368421,2.10526315789474e-05,0.00267368421052632,6.42105263157895e-06,1.15789473684211e-05,1.36842105263158e-06,7.78947368421053e-06,0.00176926315789474,8.42105263157895e-07,4.94736842105263e-05,6.52631578947368e-06
"26",28,0.71461,1e-05,7.40740740740741e-05,0.00209876543209877,0.246913580246914,0.183950617283951,0.00148148148148148,0.185185185185185,8.1,6.17283950617284e-05,1.97530864197531e-05,0.00128888888888889,0.00950617283950617,3.20987654320988e-05,6.17283950617284e-05,0.000123456790123457,3.7037037037037e-05,0.000323456790123457,0.00308641975308642,3.7037037037037e-06,0.00209876543209877,3.20987654320988e-06,7.40740740740741e-06,6.17283950617284e-07,3.95061728395062e-06,3.7037037037037e-07,3.7037037037037e-06,9.87654320987655e-06,1.97530864197531e-06
"27",29,0.7106,1e-05,0.000110655737704918,0.00102459016393443,0.307377049180328,0.262704918032787,0.000573770491803279,0.069672131147541,24.4,2.45901639344262e-05,3.72950819672131e-05,9.42622950819672e-06,0.000245901639344262,1.80327868852459e-05,6.14754098360656e-05,9.01639344262295e-05,6.14754098360656e-05,8.19672131147541e-05,0.00520491803278689,2.33606557377049e-05,0.00102868852459016,4.09836065573771e-07,8.19672131147541e-07,1.63934426229508e-07,8.19672131147541e-07,1.22950819672131e-07,1.22950819672131e-06,3.27868852459016e-06,2.21311475409836e-05
"28",30,0.71063,1e-05,0.0001125,0.000958333333333333,0.304166666666667,0.2625,5e-04,0.0666666666666667,24,2.5e-05,4.16666666666667e-05,1.91666666666667e-05,0.000166666666666667,1.25e-05,2.91666666666667e-05,4.58333333333333e-05,6.66666666666667e-05,7.95833333333333e-05,0.00516666666666667,2.33333333333333e-05,0.001,3.33333333333333e-07,8.33333333333333e-07,1.66666666666667e-07,8.33333333333333e-07,1.25e-07,1.25e-06,1.66666666666667e-06,2.20416666666667e-05
"29",31,0.7106,1e-05,0.00011328125,0.0008984375,0.296875,0.221875,0.00046875,0.0546875,25.6,2.34375e-05,3.75e-05,1.0546875e-05,0.0001171875,1.171875e-05,5.859375e-05,3.90625e-05,6.25e-05,5.7421875e-05,0.0051953125,2.2265625e-05,0.00097265625,3.125e-07,7.8125e-07,1.5625e-07,7.8125e-07,1.171875e-07,1.171875e-06,1.171875e-06,2.13671875e-05
"30",32,0.71067,1e-05,0.00010989010989011,0.00120879120879121,0.681318681318681,0.262637362637363,0.000494505494505495,0.0604395604395604,18.2,2.1978021978022e-05,1.59340659340659e-05,0.00228131868131868,0.00263736263736264,1.48351648351648e-05,4.3956043956044e-05,5.49450549450549e-05,4.3956043956044e-05,8.40659340659341e-05,0.00538461538461539,1.64835164835165e-05,0.00118681318681319,4.3956043956044e-07,1.0989010989011e-06,2.1978021978022e-07,1.0989010989011e-06,1.64835164835165e-07,1.64835164835165e-06,1.64835164835165e-06,1.64285714285714e-05
"31",33,0.71141,1e-05,9.375e-05,0.00234375,1.828125,0.2625,0.00109375,0.234375,6.4,6.25e-05,1.5625e-05,0.0005609375,0.0053125,3.28125e-05,7.8125e-05,0.0015625,6.25e-05,0.00051875,0.00484375,3.125e-06,0.0035,1.25e-06,3.125e-06,6.25e-07,3.125e-06,4.6875e-07,4.6875e-06,4.6875e-06,1.25e-06
"32",34,0.70998,1e-05,8.69565217391304e-05,0.00260869565217391,3.94202898550725,0.339130434782609,0.00188405797101449,0.260869565217391,6.9,5.79710144927536e-05,1.44927536231884e-05,0.000146376811594203,0.00202898550724638,3.6231884057971e-05,0.000101449275362319,0.000144927536231884,5.79710144927536e-05,0.000397101449275362,0.00768115942028985,4.34782608695652e-06,0.00369565217391304,1.15942028985507e-06,2.89855072463768e-06,5.79710144927536e-07,2.89855072463768e-06,4.34782608695652e-07,4.34782608695652e-06,5.79710144927536e-06,1.44927536231884e-06
